,,ClusterLabel
45.93,27.97,o
45.9,27.95,o
45.9,27.96,o
45.93,27.95,o
45.93,27.97,o
45.9,27.98,o
45.9,27.95,o
45.97,27.94,o
46.0,27.92,o
46.1,27.92,o
46.1,27.9,o
46.2,27.89,o
46.26,27.88,o
46.3,27.88,o
46.23,27.87,o
46.16,27.87,o
46.13,27.85,o
46.1,27.86,o
46.1,27.86,o
46.07,27.84,o
46.1,27.87,o
46.03,27.87,o
46.03,27.85,o
46.03,27.86,o
46.03,27.85,o
46.03,27.84,o
46.03,27.82,o
46.1,27.82,o
46.1,27.83,o
46.1,27.84,o
46.1,27.83,o
46.07,27.83,o
46.07,27.83,o
46.1,27.83,o
46.1,27.83,o
46.03,27.83,o
46.0,27.83,o
45.97,27.82,o
45.93,27.81,o
45.9,27.8,o
45.87,27.82,o
45.9,27.82,o
45.9,27.8,o
45.9,27.81,o
45.93,27.78,o
45.97,27.78,o
45.97,27.81,o
45.97,27.8,o
45.97,27.81,o
46.0,27.8,o
45.97,27.79,o
45.97,27.77,o
46.0,27.76,o
45.97,27.76,o
46.0,27.76,o
46.0,27.76,o
46.03,27.75,o
45.97,27.72,o
46.0,27.72,o
46.0,27.72,o
46.0,27.71,o
45.97,27.69,o
45.97,27.71,o
46.0,27.72,o
45.97,27.72,o
45.97,27.71,o
45.93,27.71,o
45.93,27.7,o
45.9,27.71,o
45.9,27.69,o
45.9,27.7,o
45.9,27.67,o
45.9,27.67,o
45.93,27.66,o
45.9,27.67,o
45.9,27.66,o
45.93,27.66,o
45.93,27.68,o
46.0,27.67,o
45.97,27.67,o
45.93,27.65,o
45.93,27.67,o
45.93,27.66,o
45.9,27.66,o
45.9,27.64,o
45.87,27.65,o
45.84,27.66,o
45.84,27.65,o
45.84,27.66,o
45.87,27.63,o
45.84,27.64,o
45.84,27.6,o
45.9,27.59,o
45.97,27.57,o
45.97,27.59,o
45.93,27.59,o
45.97,27.58,o
45.97,27.59,o
45.93,27.59,o
45.9,27.58,o
45.93,27.56,o
45.97,27.57,o
45.93,27.56,o
45.9,27.57,o
45.9,27.55,o
45.9,27.55,o
45.9,27.55,o
45.9,27.58,o
45.9,27.57,o
45.87,27.59,o
45.84,27.61,o
45.84,27.6,o
45.87,27.59,o
45.9,27.58,o
46.03,27.59,o
46.26,27.57,o
46.52,27.58,o
46.75,27.56,o
47.08,27.55,o
47.28,27.55,o
47.28,27.54,o
47.31,27.55,o
47.28,27.55,o
47.34,27.54,o
47.38,27.56,o
47.41,27.59,o
47.41,27.6,o
47.47,27.61,o
47.47,27.61,o
47.47,27.61,o
47.47,27.64,o
47.41,27.64,o
47.38,27.65,o
47.34,27.65,o
47.28,27.67,o
47.24,27.69,o
47.18,27.72,o
47.15,27.72,o
47.15,27.73,o
47.15,27.74,o
47.08,27.76,o
47.05,27.77,o
47.02,27.79,o
46.95,27.79,o
46.95,27.8,o
46.92,27.81,o
46.89,27.82,o
46.85,27.84,o
46.82,27.85,o
46.75,27.87,o
46.69,27.86,o
46.66,27.87,o
46.62,27.88,o
46.62,27.89,o
46.56,27.9,o
46.52,27.9,o
46.49,27.91,o
46.46,27.91,o
46.43,27.91,o
46.43,27.92,o
46.43,27.93,o
46.43,27.93,o
46.39,27.95,o
46.39,27.96,o
46.36,27.96,o
46.33,27.96,o
46.3,27.97,o
46.26,27.97,o
46.26,27.98,o
46.23,27.99,o
46.23,28.0,o
46.2,28.01,o
46.2,28.01,o
46.16,28.01,o
46.16,28.02,o
46.16,28.03,o
46.13,28.03,o
46.1,28.04,o
46.07,28.04,o
46.03,28.05,o
46.03,28.08,o
46.03,28.09,o
46.03,28.09,o
46.0,28.09,o
46.03,28.11,o
46.1,28.11,o
46.1,28.11,o
46.13,28.12,o
46.16,28.12,o
46.16,28.13,o
46.16,28.13,o
46.16,28.14,o
46.16,28.14,o
46.16,28.15,o
46.13,28.16,o
46.13,28.15,o
46.1,28.16,o
46.13,28.17,o
46.1,28.18,o
46.1,28.17,o
46.07,28.17,o
46.03,28.17,o
46.03,28.18,o
46.03,28.18,o
46.03,28.17,o
46.0,28.18,o
45.97,28.19,o
45.97,28.19,o
45.97,28.19,o
45.97,28.2,o
45.97,28.2,o
45.93,28.21,o
45.9,28.21,o
45.9,28.23,o
45.9,28.22,o
45.87,28.23,o
45.87,28.25,o
45.84,28.25,o
45.84,28.25,o
45.84,28.24,o
45.84,28.24,o
45.84,28.25,o
45.84,28.23,o
45.84,28.26,o
45.77,28.25,o
45.8,28.26,o
45.84,28.26,o
45.77,28.27,o
45.8,28.27,o
45.77,28.27,o
45.77,28.27,o
45.77,28.27,o
45.74,28.27,o
45.74,28.27,o
45.74,28.28,o
45.74,28.29,o
45.7,28.29,o
45.7,28.29,o
45.7,28.29,o
45.7,28.29,o
45.7,28.29,o
45.67,28.29,o
45.67,28.3,o
45.67,28.3,o
45.67,28.3,o
45.64,28.3,o
45.67,28.31,o
45.64,28.31,o
45.64,28.3,o
45.64,28.31,o
45.64,28.32,o
45.6,28.31,o
45.6,28.33,o
45.6,28.31,o
45.57,28.33,o
45.57,28.33,o
45.57,28.36,o
45.57,28.35,o
45.57,28.35,o
45.54,28.35,o
45.51,28.36,o
45.51,28.36,o
45.51,28.35,o
45.51,28.36,o
45.51,28.37,o
45.47,28.37,o
45.47,28.37,o
45.44,28.37,o
45.44,28.37,o
45.44,28.37,o
45.44,28.38,o
45.44,28.37,o
45.44,28.39,o
45.44,28.39,o
45.44,28.4,o
45.44,28.39,o
45.41,28.4,o
45.41,28.4,o
45.44,28.41,o
45.41,28.41,o
45.37,28.41,o
45.37,28.41,o
45.37,28.41,o
45.34,28.41,o
45.37,28.42,o
45.34,28.42,o
45.34,28.42,o
45.31,28.42,o
45.31,28.42,o
45.34,28.43,o
45.34,28.43,o
45.34,28.44,o
45.34,28.43,o
45.31,28.43,o
45.31,28.43,o
45.31,28.43,o
45.31,28.43,o
45.31,28.45,o
45.31,28.45,o
45.31,28.45,o
45.31,28.44,o
45.31,28.46,o
45.31,28.45,o
45.28,28.45,o
45.28,28.45,o
45.28,28.44,o
45.24,28.46,o
45.24,28.46,o
45.24,28.45,o
45.24,28.47,o
45.24,28.46,o
45.24,28.45,o
45.24,28.46,o
45.24,28.47,o
45.24,28.47,o
45.24,28.48,o
45.24,28.48,o
45.21,28.47,o
45.21,28.48,o
45.24,28.47,o
45.24,28.47,o
45.18,28.48,o
45.11,28.45,o
45.01,28.45,o
44.98,28.44,o
44.98,28.45,o
44.98,28.45,o
45.01,28.44,o
45.04,28.45,o
45.04,28.43,o
45.08,28.44,o
45.14,28.43,o
45.18,28.42,o
45.21,28.43,o
45.24,28.41,o
45.21,28.41,o
45.24,28.41,o
45.21,28.43,o
45.18,28.43,o
45.18,28.45,o
45.11,28.44,o
45.08,28.44,o
44.98,28.44,o
44.91,28.42,o
44.85,28.42,o
44.85,28.43,o
44.81,28.42,o
44.78,28.41,o
44.81,28.41,o
44.78,28.41,o
44.78,28.41,o
44.71,28.39,o
44.68,28.38,o
44.68,28.41,o
44.71,28.39,o
44.71,28.39,o
44.71,28.41,o
44.61,28.42,o
44.58,28.4,o
44.52,28.41,o
44.48,28.4,o
44.48,28.39,o
44.45,28.4,o
44.38,28.39,o
44.38,28.38,o
44.32,28.39,o
44.35,28.38,o
44.35,28.39,o
44.38,28.37,o
44.38,28.39,o
44.32,28.37,o
44.32,28.37,o
44.32,28.36,o
44.32,28.37,o
44.35,28.36,o
44.38,28.37,o
44.45,28.36,o
44.45,28.39,o
44.48,28.39,o
44.55,28.4,o
44.65,28.4,o
44.58,28.39,o
44.55,28.4,o
44.52,28.39,o
44.58,28.4,o
44.58,28.41,o
44.58,28.43,o
44.65,28.42,o
44.65,28.43,o
44.71,28.42,o
44.71,28.43,o
44.71,28.42,o
44.71,28.43,o
44.68,28.43,o
44.68,28.42,o
44.71,28.44,o
44.71,28.44,o
44.75,28.45,o
44.75,28.45,o
44.75,28.47,o
44.75,28.47,o
44.78,28.46,o
44.78,28.46,o
44.78,28.46,o
44.78,28.45,o
44.78,28.45,o
44.78,28.47,o
44.78,28.47,o
44.78,28.47,o
44.75,28.48,o
44.78,28.47,o
44.78,28.48,o
44.75,28.48,o
44.78,28.48,o
44.75,28.49,o
44.78,28.49,o
44.78,28.49,o
44.78,28.49,o
44.78,28.5,o
44.78,28.5,o
44.78,28.51,o
44.78,28.51,o
44.78,28.51,o
44.78,28.51,o
44.78,28.5,o
44.78,28.5,o
44.78,28.51,o
44.81,28.51,o
44.78,28.51,o
44.81,28.51,o
44.81,28.53,o
44.85,28.51,o
44.81,28.51,o
44.85,28.51,o
44.81,28.51,o
44.85,28.53,o
44.85,28.52,o
44.85,28.5,o
44.85,28.51,o
44.85,28.51,o
44.85,28.51,o
44.85,28.51,o
44.85,28.51,o
44.88,28.51,o
44.88,28.51,o
44.88,28.51,o
44.88,28.52,o
44.91,28.51,o
44.91,28.51,o
44.91,28.53,o
44.91,28.52,o
44.88,28.52,o
44.88,28.53,o
44.88,28.53,o
44.88,28.52,o
44.88,28.53,o
44.91,28.52,o
44.91,28.52,o
44.91,28.53,o
44.91,28.53,o
44.91,28.53,o
44.91,28.52,o
44.91,28.52,o
44.91,28.53,o
44.91,28.53,o
44.88,28.53,o
44.91,28.52,o
44.91,28.53,o
44.91,28.52,o
44.91,28.52,o
44.91,28.52,o
44.91,28.53,o
44.91,28.53,o
44.91,28.53,o
44.91,28.54,o
44.91,28.52,o
44.88,28.53,o
44.91,28.53,o
44.91,28.53,o
44.91,28.54,o
44.91,28.54,o
44.91,28.54,o
44.88,28.54,o
44.91,28.55,o
44.91,28.55,o
44.91,28.54,o
44.91,28.54,o
44.91,28.55,o
44.91,28.54,o
44.91,28.54,o
44.91,28.54,o
44.91,28.54,o
44.91,28.55,o
44.91,28.55,o
44.91,28.56,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.54,o
44.91,28.54,o
44.91,28.54,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.55,o
44.91,28.56,o
44.91,28.56,o
44.91,28.56,o
44.91,28.57,o
44.91,28.55,o
44.91,28.56,o
44.91,28.55,o
44.91,28.57,o
44.91,28.56,o
44.91,28.55,o
44.91,28.56,o
44.88,28.57,o
44.91,28.57,o
44.91,28.57,o
44.91,28.56,o
44.91,28.56,o
44.88,28.56,o
44.88,28.56,o
44.88,28.57,o
44.85,28.56,o
44.88,28.56,o
44.91,28.57,o
44.88,28.56,o
44.91,28.57,o
44.85,28.57,o
44.85,28.57,o
44.88,28.55,o
44.88,28.56,o
44.85,28.56,o
44.85,28.57,o
44.85,28.56,o
44.85,28.56,o
44.85,28.57,o
44.88,28.58,o
44.85,28.57,o
44.85,28.57,o
44.88,28.57,o
44.88,28.59,o
44.85,28.57,o
44.85,28.58,o
44.85,28.57,o
44.85,28.58,o
44.85,28.58,o
44.88,28.58,o
44.85,28.59,o
44.85,28.57,o
44.88,28.58,o
44.88,28.58,o
44.85,28.59,o
44.85,28.58,o
44.85,28.57,o
44.85,28.57,o
44.85,28.58,o
44.85,28.58,o
44.85,28.59,o
44.85,28.58,o
44.85,28.58,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.58,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.59,o
44.85,28.6,o
44.85,28.6,o
44.85,28.59,o
44.85,28.6,o
44.85,28.6,o
44.85,28.59,o
44.85,28.6,o
44.85,28.6,o
44.85,28.59,o
44.85,28.61,o
44.85,28.59,o
44.85,28.59,o
44.81,28.6,o
44.85,28.59,o
44.81,28.6,o
44.85,28.59,o
44.85,28.59,o
44.85,28.61,o
44.85,28.59,o
44.85,28.6,o
44.85,28.61,o
44.85,28.6,o
44.85,28.61,o
44.85,28.61,o
44.85,28.61,o
44.81,28.6,o
44.85,28.6,o
44.85,28.61,o
44.85,28.61,o
44.85,28.61,o
44.81,28.6,o
44.81,28.6,o
44.85,28.62,o
44.85,28.61,o
44.85,28.61,o
44.81,28.61,o
44.85,28.6,o
44.85,28.61,o
44.85,28.61,o
44.85,28.61,o
44.81,28.62,o
44.85,28.61,o
44.85,28.61,o
44.85,28.62,o
44.85,28.62,o
44.81,28.61,o
44.81,28.62,o
44.81,28.61,o
44.81,28.62,o
44.85,28.63,o
44.85,28.64,o
44.85,28.62,o
44.85,28.62,o
44.81,28.63,o
44.85,28.63,o
44.85,28.63,o
44.81,28.62,o
44.81,28.63,o
44.81,28.62,o
44.81,28.64,o
44.81,28.64,o
44.81,28.64,o
44.81,28.63,o
44.81,28.64,o
44.78,28.63,o
44.81,28.63,o
44.81,28.64,o
44.78,28.64,o
44.81,28.65,o
44.81,28.65,o
44.78,28.64,o
44.81,28.65,o
44.81,28.65,o
44.78,28.64,o
44.78,28.64,o
44.81,28.64,o
44.78,28.65,o
44.78,28.64,o
44.81,28.65,o
44.81,28.66,o
44.81,28.66,o
44.78,28.67,o
44.78,28.66,o
44.78,28.65,o
44.81,28.65,o
44.78,28.67,o
44.81,28.66,o
44.81,28.67,o
44.78,28.67,o
44.78,28.66,o
44.78,28.66,o
44.78,28.67,o
44.78,28.67,o
44.78,28.66,o
44.78,28.67,o
44.78,28.67,o
44.78,28.66,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.68,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.78,28.67,o
44.81,28.68,o
44.78,28.68,o
44.78,28.68,o
44.78,28.68,o
44.78,28.67,o
44.81,28.68,o
44.81,28.68,o
44.81,28.67,o
44.78,28.68,o
44.78,28.67,o
44.78,28.68,o
44.78,28.67,o
44.78,28.66,o
44.78,28.67,o
44.78,28.68,o
44.78,28.68,o
44.81,28.67,o
44.78,28.67,o
44.78,28.67,o
44.81,28.67,o
44.81,28.68,o
44.81,28.67,o
44.85,28.68,o
44.85,28.68,o
44.81,28.68,o
44.81,28.69,o
44.78,28.68,o
44.85,28.67,o
44.81,28.69,o
44.81,28.67,o
44.81,28.68,o
44.81,28.68,o
44.81,28.68,o
44.85,28.68,o
44.81,28.69,o
44.81,28.68,o
44.85,28.69,o
44.81,28.69,o
44.85,28.68,o
44.85,28.69,o
44.81,28.68,o
44.81,28.68,o
44.81,28.68,o
44.81,28.68,o
44.81,28.68,o
44.85,28.7,o
44.85,28.69,o
44.85,28.69,o
44.85,28.68,o
44.85,28.68,o
44.85,28.68,o
44.85,28.69,o
44.85,28.69,o
44.85,28.69,o
44.85,28.68,o
44.85,28.68,o
44.85,28.69,o
44.85,28.69,o
44.85,28.69,o
44.85,28.68,o
44.85,28.69,o
44.85,28.69,o
44.85,28.7,o
44.85,28.69,o
44.85,28.68,o
44.85,28.69,o
44.85,28.69,o
44.85,28.69,o
44.85,28.7,o
44.85,28.69,o
44.85,28.69,o
44.85,28.69,o
44.85,28.7,o
44.85,28.7,o
44.85,28.7,o
44.85,28.69,o
44.85,28.69,o
44.85,28.7,o
44.85,28.7,o
44.85,28.69,o
44.85,28.7,o
44.85,28.71,o
44.85,28.7,o
44.85,28.7,o
44.85,28.69,o
44.85,28.7,o
44.85,28.7,o
44.85,28.7,o
44.85,28.71,o
44.85,28.7,o
44.88,28.7,o
44.88,28.7,o
44.85,28.7,o
44.88,28.71,o
44.85,28.7,o
44.85,28.7,o
44.88,28.71,o
44.95,28.7,o
44.98,28.7,o
45.04,28.71,o
45.01,28.71,o
45.04,28.7,o
45.04,28.69,o
45.04,28.69,o
45.08,28.7,o
45.14,28.69,o
45.18,28.7,o
45.21,28.71,o
45.21,28.7,o
45.18,28.71,o
45.21,28.7,o
45.21,28.71,o
45.24,28.71,o
45.21,28.69,o
45.21,28.69,o
45.21,28.7,o
45.18,28.7,o
45.18,28.69,o
45.21,28.69,o
45.18,28.71,o
45.18,28.7,o
45.18,28.71,o
45.14,28.71,o
45.14,28.71,o
45.11,28.71,o
45.11,28.71,o
45.11,28.71,o
45.11,28.7,o
45.11,28.7,o
45.11,28.69,o
45.11,28.69,o
45.11,28.68,o
45.11,28.68,o
45.11,28.69,o
45.11,28.69,o
45.11,28.71,o
45.11,28.71,o
45.08,28.71,o
45.11,28.71,o
45.11,28.71,o
45.08,28.7,o
45.11,28.7,o
45.11,28.69,o
45.11,28.69,o
45.11,28.7,o
45.11,28.69,o
45.11,28.7,o
45.11,28.71,o
45.11,28.71,o
45.08,28.71,o
45.04,28.71,o
45.04,28.72,o
45.04,28.73,o
45.04,28.72,o
45.04,28.71,o
45.04,28.71,o
45.08,28.71,o
45.04,28.71,o
45.04,28.72,o
45.04,28.71,o
45.04,28.72,o
45.08,28.71,o
45.08,28.7,o
45.08,28.7,o
45.04,28.7,o
45.04,28.71,o
45.04,28.71,o
45.04,28.69,o
45.04,28.7,o
45.04,28.71,o
45.04,28.73,o
45.04,28.71,o
45.04,28.73,o
44.98,28.73,o
45.01,28.73,o
45.01,28.73,o
45.01,28.73,o
45.01,28.73,o
45.01,28.73,o
45.04,28.74,o
45.04,28.73,o
45.04,28.73,o
45.04,28.72,o
45.04,28.72,o
45.04,28.73,o
45.04,28.73,o
45.04,28.73,o
45.04,28.72,o
45.08,28.73,o
45.01,28.73,o
45.01,28.73,o
44.98,28.74,o
44.98,28.73,o
45.04,28.73,o
45.08,28.73,o
45.14,28.74,o
45.18,28.73,o
45.18,28.73,o
45.21,28.73,o
45.21,28.73,o
45.24,28.72,o
45.24,28.73,o
45.24,28.73,o
45.24,28.73,o
45.28,28.73,o
45.24,28.73,o
45.28,28.73,o
45.21,28.72,o
45.11,28.72,o
45.04,28.7,o
45.04,28.7,o
45.11,28.7,o
45.18,28.71,o
45.21,28.71,o
45.24,28.72,o
45.21,28.71,o
45.24,28.71,o
45.24,28.71,o
45.24,28.73,o
45.18,28.71,o
45.14,28.71,o
45.14,28.72,o
45.14,28.71,o
45.11,28.71,o
45.18,28.73,o
45.11,28.72,o
45.11,28.72,o
45.11,28.72,o
45.11,28.73,o
45.11,28.74,o
45.11,28.73,o
45.11,28.73,o
45.11,28.73,o
45.14,28.74,o
45.18,28.73,o
45.18,28.72,o
45.18,28.73,o
45.11,28.73,o
45.11,28.73,o
45.08,28.73,o
45.08,28.73,o
45.04,28.73,o
45.08,28.73,o
45.04,28.73,o
45.04,28.73,o
45.04,28.73,o
45.08,28.73,o
45.04,28.73,o
45.08,28.73,o
45.08,28.74,o
45.08,28.74,o
45.08,28.74,o
45.04,28.73,o
45.04,28.73,o
45.04,28.74,o
45.04,28.73,o
45.04,28.75,o
45.04,28.74,o
45.04,28.75,o
45.04,28.74,o
45.04,28.75,o
45.04,28.73,o
45.08,28.75,o
45.04,28.74,o
45.04,28.75,o
45.04,28.74,o
45.04,28.75,o
45.04,28.74,o
44.98,28.74,o
44.98,28.74,o
44.98,28.74,o
45.01,28.73,o
45.01,28.73,o
45.01,28.75,o
45.01,28.75,o
45.01,28.75,o
45.01,28.75,o
45.01,28.75,o
44.98,28.75,o
44.98,28.75,o
44.98,28.75,o
44.98,28.75,o
44.98,28.76,o
44.98,28.75,o
44.98,28.75,o
44.98,28.75,o
44.98,28.76,o
44.98,28.74,o
44.98,28.75,o
44.98,28.75,o
44.98,28.76,o
44.98,28.75,o
44.98,28.74,o
44.98,28.75,o
44.98,28.76,o
44.98,28.75,o
44.98,28.76,o
44.98,28.75,o
44.98,28.76,o
44.98,28.76,o
44.98,28.76,o
44.95,28.76,o
44.98,28.77,o
44.98,28.75,o
44.98,28.76,o
44.98,28.76,o
44.98,28.77,o
44.98,28.77,o
44.95,28.77,o
44.95,28.76,o
44.95,28.76,o
44.91,28.76,o
44.95,28.76,o
44.95,28.76,o
44.98,28.77,o
44.98,28.76,o
44.98,28.77,o
44.98,28.77,o
44.98,28.77,o
44.95,28.76,o
44.95,28.75,o
44.91,28.77,o
44.91,28.76,o
44.95,28.77,o
44.91,28.77,o
44.91,28.77,o
44.91,28.77,o
44.91,28.77,o
44.91,28.77,o
44.95,28.77,o
44.12,28.75,o
44.08,28.74,o
43.98,28.75,o
43.95,28.74,o
43.95,28.75,o
43.98,28.75,o
43.98,28.76,o
43.92,28.75,o
43.85,28.73,o
43.85,28.73,o
43.92,28.74,o
43.85,28.74,o
43.82,28.74,o
43.82,28.73,o
43.85,28.74,o
43.85,28.73,o
43.85,28.73,o
43.82,28.73,o
43.79,28.72,o
43.79,28.72,o
43.82,28.73,o
43.85,28.73,o
43.85,28.73,o
43.82,28.72,o
43.79,28.73,o
43.79,28.72,o
43.72,28.74,o
43.75,28.74,o
43.75,28.73,o
43.72,28.74,o
43.65,28.74,o
43.65,28.75,o
43.62,28.74,o
43.65,28.73,o
43.65,28.74,o
43.62,28.74,o
43.65,28.74,o
43.65,28.74,o
43.65,28.74,o
43.65,28.74,o
43.65,28.76,o
43.65,28.76,o
43.59,28.75,o
43.55,28.75,o
43.55,28.75,o
43.55,28.74,o
43.52,28.75,o
43.49,28.74,o
43.45,28.74,o
43.45,28.75,o
43.45,28.75,o
43.45,28.75,o
43.45,28.75,o
43.45,28.74,o
43.42,28.75,o
43.45,28.74,o
43.45,28.74,o
43.45,28.75,o
43.39,28.74,o
43.39,28.75,o
43.42,28.76,o
43.35,28.76,o
43.39,28.75,o
43.32,28.74,o
43.29,28.75,o
43.29,28.75,o
43.32,28.74,o
43.29,28.75,o
43.25,28.75,o
43.22,28.75,o
43.22,28.75,o
43.19,28.73,o
43.22,28.73,o
43.25,28.72,o
43.22,28.72,o
43.25,28.74,o
43.25,28.73,o
43.35,28.74,o
43.32,28.74,o
43.25,28.74,o
43.22,28.73,o
43.19,28.74,o
43.12,28.74,o
43.12,28.75,o
43.12,28.73,o
43.12,28.75,o
43.12,28.75,o
43.12,28.74,o
43.09,28.75,o
43.05,28.75,o
